id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,return_on_capital_employed_pct,return_on_assets_pct,net_debt_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score,high_leverage_flag,icr_label,pe_ratio,pb_ratio,dividend_yield_pct,id_y,company_name
137,ASIANPAINT,Mar 2024,15.658543456824905,21.3692069305536,29.677488252883382,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0,39.64720309404773,18.588007090063876,,6.174284608187852,11.500195340146258,,14.500277056849864,10.793342537824358,,,,,,,,73.37,3.9,2.42,ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company
243,BEL,Mar 2024,19.661535425300965,24.921057825143084,4744.047619047619,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43,4659.0,4504.72440944882,2475.1552795031057,,11.972442265932749,10.71731890624774,,23.68397094243564,19.99902755061833,,,,,,,,17.89,9.22,0.76,BEL,Bharat Electronics Ltd
267,BOSCHLTD,Mar 2024,14.886112273569676,12.524660728164047,20.639920424403183,0.0032,71.7843,0.9638,1536.0,283.0,844.0,40.2133,44.0,39,1253.0,30.2486986697513,14.34745030250648,,13.330908088299331,11.747072046217323,,19.63797277977788,26.239966784649837,,,,,,,,58.43,6.47,4.23,BOSCHLTD,Bosch Ltd
399,DRREDDY,Mar 2024,19.913605369319196,28.321016743422227,19.74233736816026,0.0709,51.7076,0.7223,509.0,4034.0,67.0,34.041,12.0,2002,4543.0,29.223955579058696,14.383702939659617,,13.171531511760492,12.258612355753694,,35.662802441078334,21.876375888062437,,,,,,,,11.73,10.19,0.09,DRREDDY,Dr Reddys Laboratories Ltd
411,EICHERMOT,Mar 2024,24.195694242864054,26.179245283018872,22.172346910501524,0.0232,114.7059,0.7154,890.0,2834.0,146.0,66.8333,35.0,419,3724.0,31.683275563258235,17.309106640709494,,18.396317744522527,13.300366111539773,,36.53074165448827,18.49422168054984,,,,,,,,15.62,13.61,4.41,EICHERMOT,Eicher Motors Ltd
467,HAVELLS,Mar 2024,6.837009144701453,10.118343195266272,17.067275412917954,0.0407,25.3571,1.4952,335.0,1618.0,20.0,11.8206,44.0,303,1953.0,27.483870967741936,10.222794176787582,,14.050104932715968,16.977707708753577,,5.389890191388624,13.754383035188301,,,,,,,,45.41,14.08,2.6,HAVELLS,Havells India Ltd
561,ICICIGI,Mar 2024,9.366915605017816,87.42129155073948,15.7230643179025,0.0029,160.0268,0.3236,486.0,1921.0,39.0,2.4757,28.0,35,2407.0,146.4297385620915,3.0312124849939974,,13.287799327544715,15.134913391142524,,25.59433721204918,16.094134940382943,,,,,,,,49.0,7.86,3.46,ICICIGI,ICICI Lombard General Insurance Company Ltd
597,INFY,Mar 2024,17.08075746730006,23.703390381987376,29.788006718416632,0.0949,87.5234,1.1298,20117.0,5093.0,63.0,4.2548,,8359,25210.0,42.63902565431459,19.297162182032054,,9.56431870094654,11.997653045197954,,7.727571179894599,10.720932755973521,,,,,,,,35.99,8.97,4.1,INFY,Infosys Ltd
619,IRCTC,Mar 2024,26.01873536299766,34.33255269320843,34.39628482972136,0.0186,82.7368,0.701,667.0,215.0,14.0,2.0187,47.0,60,882.0,47.78115501519757,18.240026268264653,,33.344050347841005,14.497039424389602,,22.052244447028492,18.525767489903288,,,,,,,,60.44,5.74,1.08,IRCTC,Indian Railway Catering & Tourism Corporation Ltd
729,LTIM,Mar 2024,12.90931103415266,17.982937748120616,22.904386052552702,0.1035,31.9324,1.2895,1752.0,3918.0,155.0,66.7267,42.0,2071,5670.0,32.09289691701752,16.64609352309033,,12.453852441789937,27.827664798052343,,5.010571378400597,24.649492447050548,,,,,,,,64.52,2.38,4.43,LTIM,LTIMindtree Ltd
753,MARUTI,Mar 2024,9.50809964894472,13.130031439890594,15.750385351954785,0.0014,117.9072,1.2303,4936.0,11865.0,429.0,54.5452,29.0,119,16801.0,26.67366334324529,11.697772843960314,,18.022757073173622,13.927307119657995,,53.455486798535404,19.816525134985817,,,,,,,,20.78,8.26,1.78,MARUTI,Maruti Suzuki India Ltd
825,ONGC,Mar 2024,9.655290194725701,17.388518015001793,16.940398136885513,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0,23.62402116466871,8.044955154739396,,10.271062741443583,10.672105140004406,,-4.957642697348219,29.86811317565097,,,,,,,,18.15,10.36,1.11,ONGC,Oil & Natural Gas Corpn Ltd
849,PIDILITIND,Mar 2024,14.108051360736493,21.868690947266415,20.780302129178065,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0,31.52804642166344,14.466710831401125,,9.14972399826146,12.080877705351023,,17.79854829031404,11.950708302202218,,,,,,,,36.12,12.3,1.01,PIDILITIND,Pidilite Industries Ltd
1136,TRENT,Mar 2024,11.935353535353535,15.927272727272726,36.30776794493609,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,50.85036935234496,20.622731080703712,,49.48525037772824,33.93602929650476,,272.4976245019792,76.37074131332167,,,,,,,,8.65,11.82,3.46,TRENT,Trent Ltd
1004,SIEMENS,Sep 2024,12.221223021582734,13.956834532374101,17.698769290877124,0.0182,67.15,0.8791,1168.0,502.0,76.0,21.6296,16.0,279,1670.0,25.76745970836531,10.743507648523657,,18.998700727442852,11.193358902067896,,35.646062247422265,19.85339817550189,,,,,,,,33.32,9.25,3.69,SIEMENS,Siemens Ltd
